"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"20","New Hampshire","ACWORTH","KRICHEVSKY","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"21","New Hampshire","ACWORTH","MOROZ","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"22","New Hampshire","ACWORTH","PATRICK","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"23","New Hampshire","ACWORTH","SANDERS","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",91
"24","New Hampshire","ACWORTH","SCATTER","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"25","New Hampshire","ACWORTH","SESTAK","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"26","New Hampshire","ACWORTH","SLOAN","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"27","New Hampshire","ACWORTH","STEYER","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",4
"28","New Hampshire","ACWORTH","THISTLE","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"29","New Hampshire","ACWORTH","TORGESEN","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"30","New Hampshire","ACWORTH","WARREN","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",19
"31","New Hampshire","ACWORTH","WELLS","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"32","New Hampshire","ACWORTH","WILLIAMSON","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"33","New Hampshire","ACWORTH","YANG","SULLIVAN",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",6
"34","New Hampshire","ALBANY","BENNET","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"35","New Hampshire","ALBANY","BIDEN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",10
"36","New Hampshire","ALBANY","BOOKER","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"37","New Hampshire","ALBANY","BOYD","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"38","New Hampshire","ALBANY","BULLOCK","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"39","New Hampshire","ALBANY","BURKE","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"40","New Hampshire","ALBANY","BUTTIGIEG","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",29
"41","New Hampshire","ALBANY","CASTRO","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"42","New Hampshire","ALBANY","DE LA FUENTE","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"43","New Hampshire","ALBANY","DELANEY","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"44","New Hampshire","ALBANY","DUNLAP","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"45","New Hampshire","ALBANY","ELLINGER","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"46","New Hampshire","ALBANY","GABBARD","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",8
"47","New Hampshire","ALBANY","GLEIBERMAN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"48","New Hampshire","ALBANY","GREENSTEIN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"49","New Hampshire","ALBANY","HARRIS","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"50","New Hampshire","ALBANY","HEWES","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"51","New Hampshire","ALBANY","KLOBUCHAR","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",36
"52","New Hampshire","ALBANY","KOOS","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"53","New Hampshire","ALBANY","KRAUS","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"54","New Hampshire","ALBANY","KRICHEVSKY","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"55","New Hampshire","ALBANY","MOROZ","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"56","New Hampshire","ALBANY","PATRICK","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"57","New Hampshire","ALBANY","SANDERS","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",69
"58","New Hampshire","ALBANY","SCATTER","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"59","New Hampshire","ALBANY","SESTAK","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",1
"60","New Hampshire","ALBANY","SLOAN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"61","New Hampshire","ALBANY","STEYER","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",2
"62","New Hampshire","ALBANY","THISTLE","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"63","New Hampshire","ALBANY","TORGESEN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"64","New Hampshire","ALBANY","WARREN","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",19
"65","New Hampshire","ALBANY","WELLS","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"66","New Hampshire","ALBANY","WILLIAMSON","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"67","New Hampshire","ALBANY","YANG","CARROLL",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",6
"68","New Hampshire","ALEXANDRIA","BIDEN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",25
"69","New Hampshire","ALEXANDRIA","BOOKER","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"70","New Hampshire","ALEXANDRIA","BOYD","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
