"office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","readme_check"
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",7,"FRANKLIN",12037,"FRANKLIN",12037,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10,"GADSDEN",12039,"GADSDEN",12039,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10,"GILCHRIST",12041,"GILCHRIST",12041,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",7,"GLADES",12043,"GLADES",12043,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10,"GULF",12045,"GULF",12045,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",2,"HAMILTON",12047,"HAMILTON",12047,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",12,"HARDEE",12049,"HARDEE",12049,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",20,"HENDRY",12051,"HENDRY",12051,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",148,"HERNANDO",12053,"HERNANDO",12053,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",47,"HIGHLANDS",12055,"HIGHLANDS",12055,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",939,"HILLSBOROUGH",12057,"HILLSBOROUGH",12057,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",3,"HOLMES",12059,"HOLMES",12059,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",123,"INDIAN RIVER",12061,"INDIAN RIVER",12061,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",12,"JACKSON",12063,"JACKSON",12063,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",5,"JEFFERSON",12065,"JEFFERSON",12065,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",5,"LAFAYETTE",12067,"LAFAYETTE",12067,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",227,"LAKE",12069,"LAKE",12069,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",605,"LEE",12071,"LEE",12071,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",259,"LEON",12073,"LEON",12073,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",34,"LEVY",12075,"LEVY",12075,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",3,"LIBERTY",12077,"LIBERTY",12077,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",6,"MADISON",12079,"MADISON",12079,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",275,"MANATEE",12081,"MANATEE",12081,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",216,"MARION",12083,"MARION",12083,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",171,"MARTIN",12085,"MARTIN",12085,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1179,"MIAMI-DADE",12086,"MIAMI-DADE",12086,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",87,"MONROE",12087,"MONROE",12087,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",53,"NASSAU",12089,"NASSAU",12089,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",169,"OKALOOSA",12091,"OKALOOSA",12091,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",5,"OKEECHOBEE",12093,"OKEECHOBEE",12093,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",637,"ORANGE",12095,"ORANGE",12095,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",220,"OSCEOLA",12097,"OSCEOLA",12097,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",638,"PALM BEACH",12099,"PALM BEACH",12099,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",292,"PASCO",12101,"PASCO",12101,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1005,"PINELLAS",12103,"PINELLAS",12103,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",284,"POLK",12105,"POLK",12105,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",29,"PUTNAM",12107,"PUTNAM",12107,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",117,"SANTA ROSA",12113,"SANTA ROSA",12113,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",420,"SARASOTA",12115,"SARASOTA",12115,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",328,"SEMINOLE",12117,"SEMINOLE",12117,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
